Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>"
4087456537,"Sep 20, 2020, 12:00:44 PM",20km loop,Ride,,4979,21.8,,FALSE,,activities/4087456537.gpx,,,4979,3882,21803,11.5,5.616435051,127.4839783,127.4839783,17.29999924,48.40000153,10.19999981,0,,,,,,,,70.63587952,305.7424622,,,,,,,,,6,,,,,0,102,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4313504100,"Nov 9, 2020, 4:44:13 PM",Afternoon Ride,Ride,,1879,4.55,,FALSE,,activities/4313504100.gpx,,,1879,1579,4555.700195,4.5,2.885180473,23.67076874,23.67076874,27.39999962,36.79999924,4.300000191,0,,,,,,,,48.83584976,85.97966766,,,,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316293626,"Nov 10, 2020, 9:31:26 AM",Morning Ride,Ride,,1742,5.15,,FALSE,,activities/4316293626.gpx,,,1742,1735,5152,7.900000095,2.969452381,30.65567398,30.85567474,25.20000076,36.79999924,5.5,-0.003881988,,,,,,,,52.94978333,102.4326782,,,,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4468159551,"Dec 13, 2020, 4:23:01 PM",Afternoon Ride,Ride,,431,1.53,,FALSE,,activities/4468159551.gpx,,,431,422,1535.800049,7.900000095,3.639336586,7.893333435,8.293333054,27,35,2.900000095,-0.026045058,,,,,,,,46.7319603,21.9887886,,,,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4582811952,"Jan 7, 2021, 4:53:52 PM",Regretting starting the Jan 100k,Run,,1794,5.75,,FALSE,,activities/4582811952.gpx,,,1794,1771,5752.100098,4.5,3.24793911,28.88963318,29.08963203,19.5,36.79999924,5.699999809,-0.003476991,,,,,,,,,451.0156555,,,,,,,,,5,,,,,0,31,0,,1,5789.799805,,,,,,,,,,,,,,,,,,,,,,,,,,,
4587730081,"Jan 8, 2021, 4:30:06 PM",Earphone fit test,Run,,2296,6.85,,FALSE,,activities/4587730081.gpx,,,2296,2296,6852.5,4.400000095,2.984538317,28.84967232,28.9496727,19.5,36.79999924,6.300000191,-0.001459321,,,,,,,,,536.7661133,,,,,,,,,5,,,,,0,41,0,,1,6890.600098,,,,,,,,,,,,,,,,,,,,,,,,,,,
4596226297,"Jan 10, 2021, 8:42:24 AM",Sunrise run - ty town council for the lovely running track ,Run,,3049,10,,FALSE,,activities/4596226297.gpx,,,3049,3040,10002,5.800000191,3.290131569,91.72351837,91.02352142,20.20000076,25.29999924,14.69999981,0.0069986,,,,,,,,,798.3953857,,,,,,,,,6,,,,,0,80,0,,1,10249.2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
4607368527,"Jan 12, 2021, 8:46:54 AM",Rainy Run,Run,,1711,5.63,48,FALSE,,activities/4921449526.fit.gz,,,1711,1688,5632.5,4.800000191,3.336789131,28.77401924,28.87400055,19.5,36.79999924,6.5,-0.001775411,,,,,,164.9637756,,,323,,,48,,,,,,6,,,,,0,44,0,,1,5670.899902,,,,,,,,,,,,,,,,,,,,,,,,,,,
4614041756,"Jan 13, 2021, 11:47:05 AM",1/3 to Jan 100k,Run,,1745,6.02,68,FALSE,,activities/4928414405.fit.gz,,,1745,1735,6023.799805,6.599999905,3.471930742,28.77323914,28.77319908,19.5,36.79999924,6.800000191,0,,,,,,172.2217102,,,341,,,68,,,,,,7,,,,,0,55,0,,1,6063.100098,,,,,,,,,,,,,,,,,,,,,,,,,,,
4619922125,"Jan 14, 2021, 4:04:29 PM","Very nice, very light :)",Run,,2497,5.01,9,FALSE,,activities/4934566668.fit.gz,,,2497,2067,5017.100098,3.799999952,2.427237511,32.5843544,32.58440018,6.099999905,18.39999962,31.20000076,0,,,,,,130.3765564,,,280,,,9,,,,,,1,,,,,0,4,0,,1,5055.399902,,,,,,,,,,,,,,,,,,,,,,,,,,,
